"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Behavior Modifier 1","Interval Channel 1 Behavior Modifier 2","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Weather_15","Question: Temperature_11","Question: Humidity_14","Question: Respiration Rate: average of 3 coun_16","Question: Ear Temperature_20","Question: Body Temperature_21","Question: Forearm Temperature_22"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:29:16","2022-04-03","09:29:16","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","13","Activity","Still and Alert","","","","","","","6","7","6, 7","322","406","322, 406","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:29:32","2022-04-03","09:29:32","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","14","Activity","Still and Alert","","","","","","","6","7","6, 7","339","417","339, 417","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:29:48","2022-04-03","09:29:48","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","15","Activity","Still and Alert","","","","","","","6","10","6, 10","350","544","350, 544","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:30:04","2022-04-03","09:30:04","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","16","Activity","Still and Alert","","","","","","","6","10","6, 10","348","541","348, 541","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:30:20","2022-04-03","09:30:20","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","17","Activity","Still and Alert","","","","","","","6","8","6, 8","338","436","338, 436","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:30:36","2022-04-03","09:30:36","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","18","Activity","Resting","","","","","","","6","8","6, 8","313","437","313, 437","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:30:52","2022-04-03","09:30:52","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","19","Activity","Resting","","","","","","","6","6","6, 6","306","347","306, 347","Cloudy","27","99","98","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:24:10","2022-05-07","09:24:10","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","1","Activity","Feeding","","","","","","","3","8","3, 8","142","439","142, 439","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:24:26","2022-05-07","09:24:26","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","2","Activity","Grooming","","","","","","","3","8","3, 8","140","421","140, 421","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:24:42","2022-05-07","09:24:42","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","3","Activity","Feeding","","","","","","","3","7","3, 7","146","418","146, 418","Rain","1","1","1","1","1","1"
